LEAID,LEA_NAME,FTE_TEACHERS_FIN,TEACH_AMOUNT,AVG_TEACH_SALARY,Incomplete,SCHID,SCH_NAME,SCH_ADDRESS,SCH_CITY,SCH_STATE,SCH_ZIP 
Subtotal,,,," $570,801.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,27.5,2270070,82548,,44,LANGDON EC,1900 EVARTS ST  NE,WASHINGTON,DC,20018
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,27.05,2181603,80651,,107,BURROUGHS EC,1820 MONROE ST  NE,WASHINGTON,DC,20018
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,28.5,2222782,77992,,164,NOYES EC,2725 10TH ST  NE,WASHINGTON,DC,20018
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,10.5,849598,80914,,188,MARSHALL ES,3100 FORT LINCOLN DR NE,WASHINGTON,DC,20018
1100011,PERRY STREET PREPARATORY PCS (FORMERLY HYDE LPCS),71,5077796,71518,,225,PERRY STREET PREPARATORY PCS (FORMERLY HYDE LPCS),1800 Perry Street NE,WASHINGTON,DC,20018
1100008,FRIENDSHIP PCS,33,1831571,55502,,341,FRIENDSHIP PCS WOODRIDGE CAMPUS,2959 CARLTON AVENUE NE,WASHINGTON,DC,20018
Subtotal,,,," $449,125.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23,1426706,62031,,19,SOUSA MS,3650 Ely PL SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23.25,1722720,74095,,21,RON BROWN MS,4800 MEADE ST  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,11,734197,66745,,28,RIVER TERRACE ES,420 34TH ST  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,17.5,1439551,82260,,49,THOMAS ES,650 ANACOSTIA AVE NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,53,4271451,80593,,55,"WOODSON, H.D. HS",540 55th Street SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,15.49,1104315,71292,,64,SMOTHERS ES,4400 BROOKS ST  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,13.5,980267,72612,,97,DREW ES,5600 EADS ST NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,13.5,983662,72864,,99,DAVIS ES,4430 H ST  SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,31,2533383,81722,,106,BURRVILLE ES,801 DIVISION AVE  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,18.5,1582293,85529,,122,AITON ES,533 48TH PL NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,14.5,1252769,86398,,126,PLUMMER ES,4601 TEXAS AVE  SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23,1718589,74721,,163,NALLE ES,219 50TH ST  SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,21,1939260,92346,,173,KIMBALL ES,3375 MINNESOTA AVE  SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,13,1114879,85760,,181,HOUSTON ES,1100 50TH PL  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,14,990083,70720,,185,C.W. HARRIS ES,301 53RD ST SE,WASHINGTON,DC,20019
1100001,ARTS AND TECHNOLOGY PCS,49,3022162,61677,,215,ARTS AND TECHNOLOGY PCS,5300 BLAINE STREET NE,WASHINGTON,DC,20019
1100013,INTEGRATED DESIGN ELECTRONICS ACADEMY (IDEA),35,2464668,70419,,227,INTEGRATED DESIGN ELECTRONICS ACADEMY IDEA PCS,1027 45TH STREET NE,WASHINGTON,DC,20019
1100022,SEED PCS,45,4199957,93332,,236,SEED PCS,4300 C STREET SE,WASHINGTON,DC,20019
1100031,KIPP DC,31,1872475,60402,,246,KIPP DC KEY ACADEMY PCS,4801 BENNING ROAD SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,29,1873590,64607,,272,KELLY MILLER MS,301 49TH ST  NE,WASHINGTON,DC,20019
